frame,track_id,class_id,x,y,w,h,timestamp
180,62,32,469.6693,274.81006,30.517365,30.350708,6.0
181,62,32,472.79825,280.71692,30.289856,30.785553,6.033333333333333
191,66,32,502.4229,340.62823,30.280884,30.21408,6.366666666666666
192,66,29,504.971,345.26215,30.383575,30.336395,6.4
197,67,32,520.79395,376.87042,30.353119,30.82373,6.566666666666666
198,67,32,522.6968,381.62064,30.381042,30.578735,6.6
201,67,32,532.8922,401.07584,30.4057,30.490906,6.7
202,67,32,535.1046,405.69482,30.251465,30.60498,6.733333333333333
203,67,32,538.7689,412.8417,30.436401,30.738037,6.766666666666667
204,67,32,541.74,419.36212,30.705566,30.575073,6.8
207,67,32,550.807,436.50812,30.394714,30.49472,6.9
208,67,32,552.663,441.8725,30.208862,30.131714,6.933333333333334
212,67,32,565.81714,465.92377,31.25177,28.152435,7.066666666666666
219,72,29,199.394,223.90297,40.408783,40.290802,7.3
220,72,32,204.80078,227.4844,40.980133,40.542587,7.333333333333333
221,72,29,209.71869,231.99829,40.5343,40.45189,7.366666666666666
222,72,29,214.99495,236.31973,40.884796,40.523483,7.4
223,72,29,220.0238,240.29973,40.770462,39.76602,7.433333333333334
224,72,29,225.8265,244.28842,40.40825,39.718628,7.466666666666667
225,72,29,230.93254,248.19756,40.87979,40.372955,7.5
226,72,29,236.2011,252.25784,40.80783,40.38994,7.533333333333333
227,72,29,241.01855,256.10556,40.731613,40.02246,7.566666666666666
228,72,29,246.29301,260.20325,40.956085,40.430603,7.6
229,72,29,250.23395,264.84982,40.2901,40.601883,7.633333333333334
230,72,29,255.81894,268.46097,40.91298,40.334152,7.666666666666667
231,72,29,260.94476,272.33875,40.56758,39.905487,7.7
232,72,29,266.16122,276.40274,40.29889,39.4433,7.733333333333333
233,72,29,270.34875,280.86047,40.782043,40.407013,7.766666666666667
234,72,29,275.10803,284.12143,40.69928,40.348267,7.8
235,72,29,279.87964,287.88306,40.45981,40.238647,7.833333333333333
236,72,11,284.929,293.30463,40.975525,40.40204,7.866666666666666
237,72,29,290.195,296.0144,40.39505,40.14505,7.9
238,72,29,295.08893,301.13434,40.714325,40.466736,7.933333333333334
239,72,29,300.0056,303.95032,40.744232,39.769012,7.966666666666667
240,72,29,305.2197,307.85498,40.283203,39.731903,8.0
241,72,32,310.20013,311.67682,40.515472,39.73526,8.033333333333333
242,72,29,315.3775,315.60477,40.546143,40.193604,8.066666666666666
243,72,29,320.25446,319.45825,40.439636,39.988556,8.1
244,72,11,325.61755,323.6577,40.569183,40.097717,8.133333333333333
245,72,29,330.69006,327.5642,40.321136,40.14444,8.166666666666666
246,72,29,335.52298,331.6987,40.8714,39.98065,8.2
247,72,29,340.72192,337.08313,40.49933,40.082428,8.233333333333333
248,72,32,345.64868,340.09344,40.517456,39.96103,8.266666666666667
249,72,32,350.47858,343.7684,40.694153,40.295044,8.3
250,72,29,356.16882,349.6081,40.804413,40.612762,8.333333333333334
251,72,29,360.61688,352.1546,40.532715,40.253143,8.366666666666667
253,72,29,370.68756,359.24835,40.378204,40.0878,8.433333333333334
254,72,29,375.58014,363.3132,40.812927,40.33783,8.466666666666667
255,72,29,380.51843,367.3423,40.846466,39.66031,8.5
256,72,29,385.69342,371.62982,40.342438,39.792633,8.533333333333333
257,72,29,390.61395,375.58966,40.671295,40.297485,8.566666666666666
258,72,29,395.58728,381.80472,40.712677,40.590454,8.6
259,72,29,400.55896,384.16675,40.63913,40.01657,8.633333333333333
260,72,29,405.6559,390.35663,40.69873,40.617523,8.666666666666666
261,72,29,410.82065,392.17926,40.299072,40.32657,8.7
262,72,29,415.71332,395.37622,40.973846,40.267944,8.733333333333333
263,72,29,420.69824,399.14774,40.590942,39.941772,8.766666666666667
264,72,32,425.85382,403.1202,40.657684,39.961487,8.8
265,72,32,430.82,407.22168,40.903168,40.51129,8.833333333333334
266,72,29,436.09058,411.1816,40.69641,40.50055,8.866666666666667
266,79,32,529.8867,142.88858,30.542664,29.164566,8.866666666666667
267,72,32,440.94748,415.1594,40.32013,39.883728,8.9
267,79,32,526.9448,136.99136,30.48822,30.459969,8.9
268,72,32,445.6588,422.0039,40.76581,40.582123,8.933333333333334
271,72,29,460.97284,431.26462,40.746063,39.420288,9.033333333333333
272,72,32,466.12097,435.29718,40.71707,39.714447,9.066666666666666
273,72,32,471.27393,439.24506,41.109344,40.072052,9.1
274,72,32,476.07413,443.23615,40.439636,40.25644,9.133333333333333
290,85,29,457.57306,22.360622,30.220215,30.682066,9.666666666666666
294,85,32,445.31943,46.630737,31.487915,30.971012,9.8
295,85,32,442.61798,52.463875,30.621552,30.76704,9.833333333333334
296,85,32,439.714,58.852257,30.059235,30.231274,9.866666666666667
299,85,32,430.67133,76.815796,30.60492,30.50843,9.966666666666667
