frame,track_id,class_id,x,y,w,h,timestamp
7,6,29,360.5722,274.3088,40.600983,40.44069,0.23333333333333334
9,6,29,370.21704,282.69995,40.209076,40.27652,0.3
11,6,29,381.10016,289.8814,40.084717,40.01053,0.36666666666666664
12,6,11,386.10587,292.48685,40.162476,39.93927,0.4
13,6,29,390.6788,295.79535,40.82953,40.54117,0.43333333333333335
14,6,29,395.7695,300.00656,40.778748,40.665466,0.4666666666666667
15,6,29,400.90576,303.56787,40.83142,40.306763,0.5
16,6,29,405.9873,307.72296,41.12274,40.010162,0.5333333333333333
19,15,29,420.51202,322.0081,40.608368,40.25299,0.6333333333333333
20,15,29,426.0089,326.4363,40.33078,39.84735,0.6666666666666666
21,15,29,429.2149,327.96912,40.76178,40.25052,0.7
22,15,29,436.24948,333.64,40.82489,40.57773,0.7333333333333333
23,15,29,439.73047,335.1118,40.543182,40.05005,0.7666666666666667
27,15,29,460.1861,352.27054,40.821075,39.750732,0.9
28,21,32,14.495559,274.33093,28.991117,30.373566,0.9333333333333333
28,15,29,465.8121,357.65793,40.29486,40.681824,0.9333333333333333
29,21,32,16.953547,280.29028,29.545496,31.093903,0.9666666666666667
29,15,29,472.88437,359.9043,40.841187,40.651245,0.9666666666666667
30,15,29,475.87906,363.0705,40.657227,40.510986,1.0
31,15,29,479.25403,367.3459,40.489105,40.05246,1.0333333333333334
32,15,29,488.01358,371.44504,41.282715,39.968384,1.0666666666666667
33,15,32,490.26917,374.861,40.4545,40.000183,1.1
34,15,32,497.30157,379.46948,41.115753,40.48764,1.1333333333333333
35,15,29,503.24976,383.9784,40.726562,40.200317,1.1666666666666667
39,15,29,520.67346,400.30408,40.640778,40.28232,1.3
40,15,32,523.6671,404.1941,40.969025,40.53775,1.3333333333333333
41,15,32,531.88135,408.90186,40.601044,40.394135,1.3666666666666667
42,15,29,538.01544,412.8827,41.214355,40.79776,1.4
43,15,29,539.6307,415.75394,40.23938,40.119446,1.4333333333333333
44,29,32,61.424362,370.62024,30.765461,30.547394,1.4666666666666666
45,29,32,64.68558,376.48907,30.223358,31.365845,1.5
47,15,29,561.797,432.55444,40.87097,39.914185,1.5666666666666667
49,29,32,76.49367,400.61243,31.125896,30.915192,1.6333333333333333
50,29,32,79.521454,407.2996,29.987442,30.985535,1.6666666666666667
51,29,32,81.804,411.40692,30.24437,30.74826,1.7
52,29,32,85.58504,418.98917,30.332779,30.402039,1.7333333333333334
53,29,32,89.01104,425.11957,30.18364,30.644196,1.7666666666666666
54,29,32,91.756256,431.1648,30.742485,30.351929,1.8
55,29,32,94.80376,437.325,30.655663,30.19107,1.8333333333333333
56,29,32,97.7764,443.373,30.578133,29.916046,1.8666666666666667
60,29,32,109.68118,465.72696,31.626785,28.407593,2.0
71,33,32,142.63824,400.90244,30.576187,30.649292,2.3666666666666667
72,33,32,145.67282,395.04514,30.367401,30.379456,2.4
73,33,32,148.87076,388.77917,30.112473,30.534698,2.433333333333333
74,33,29,150.11624,383.67737,30.35347,30.127777,2.466666666666667
75,33,32,154.53964,377.02356,30.063309,30.608002,2.5
76,33,32,157.71552,370.75818,30.553009,30.375702,2.533333333333333
77,33,32,160.70831,366.66406,30.91652,30.394623,2.566666666666667
80,33,32,169.5137,347.67328,30.910522,30.111786,2.6666666666666665
81,33,32,172.88254,340.60236,30.756332,30.24118,2.7
82,33,32,175.91678,334.3673,30.549911,29.952515,2.7333333333333334
86,33,32,187.55023,310.71234,30.334015,29.537445,2.8666666666666667
87,41,29,491.48633,335.59003,40.319855,39.497955,2.9
87,33,32,190.85977,304.4438,30.505081,30.315521,2.9
88,41,29,487.23492,331.12177,41.037323,39.91397,2.933333333333333
88,33,29,193.8713,298.2862,30.764725,30.293457,2.933333333333333
